,donor,transconjugant
244,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
245,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
246,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
247,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
248,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
249,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
250,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
251,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
252,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
253,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
